codigoJugador-posicion-altura-potencia-ptsAnotados-balones anotados-rebotes-tapones-votacion-conferencia-habilidad-equipo
4376-1-1.96 -42-60-27-76-15-10-LVK-reflejos-NBA
1040-1-1.82 -74-53-50-49-16-5-kLM-rapidez-NBA
6841-3-1.85 -63-45-51-43-11-3-MMM-agilidad-NBA
9403-4-1.93 -52-12-67-20-13-10-ZAS-flexbilidad-NBA
3389-2-1.96 -69-86-36-43-6-4-SPORT-punteria-NBA
6707-16-1.82 -25-54-40-42-9-7-WWB-salto-NBA
706-8-1.85 -66-21-61-43-10-8-DAS-defensa-NBA
7429-12-1.93 -24-65-26-77-11-9-ZXD-ataque-NBA
503-1-1.85 -17-84-21-44-12-10-EFR-reflejos-NBA
6738-1-1.86 -43-23-18-85-31-2-LVK-rapidez-NBA
6645-3-1.97 -42-33-32-54-57-7-kLM-agilidad-NBA
6663-4-2.00 -43-95-76-36-16-3-MMM-flexbilidad-NBA
4606-2-1.96 -77-45-76-12-43-4-ZAS-punteria-NBA
4678-13-1.82 -44-35-49-50-32-5-SPORT-salto-NBA
2097-8-1.85 -15-64-43-51-22-6-WWB-defensa-NBA
8122-12-1.93 -50-45-20-67-21-7-DAS-ataque-NBA
8820-3-1.96 -15-89-43-36-19-8-ZXD-punteria-NBA
6262-13-1.82 -79-36-42-40-18-9-EFR-salto-NBA
1023-15-1.85 -49-60-43-61-17-10-LVK-defensa-NBA
7227-15-1.93 -78-53-77-26-16-10-kLM-ataque-NBA
3220-15-1.85 -26-45-44-21-15-5-MMM-punteria-NBA
8758-3-1.86 -73-12-15-18-14-3-ZAS-salto-NBA
1826-3-1.97 -56-86-50-32-16-10-SPORT-defensa-NBA
1994-2-2.00 -55-54-15-12-13-4-LVK-ataque-NBA
5255-8-1.96 -71-21-79-9-12-7-kLM-reflejos-NBA
459-4-1.82 -57-65-49-55-11-8-MMM-rapidez-NBA
9448-5-1.85 -19-84-78-24-10-9-ZAS-agilidad-GST
7398-5-1.93 -47-23-26-23-9-10-SPORT-flexbilidad-GST
6074-6-1.96 -16-33-73-22-8-2-WWB-reflejos-GST
841-7-1.82 -30-95-56-39-7-7-DAS-rapidez-GST
7051-2-1.85 -25-45-55-86-6-3-LVK-agilidad-GST
174-1-1.93 -38-35-25-76-5-4-kLM-flexbilidad-GST
2442-4-1.85 -70-64-38-75-4-5-MMM-reflejos-GST
423-6-1.86 -18-45-70-54-3-6-ZAS-rapidez-GST
1727-8-1.97 -27-89-18-21-2-7-SPORT-agilidad-GST
9409-7-2.00 -50-36-27-33-1-8-WWB-flexbilidad-GST
1508-6-1.96 -51-60-50-93-8-9-DAS-flexbilidad-Spyas
7447-5-1.82 -67-53-51-54-45-10-ZXD-punteria-Spyas
1619-1-1.85 -36-45-67-21-63-4-EFR-salto-Spyas
9072-7-1.93 -40-12-36-36-21-7-LVK-defensa-Spyas
6112-3-1.96 -61-86-40-12-21-8-kLM-ataque-Spyas
7030-9-1.82 -26-54-61-50-50-9-MMM-punteria-Spyas
9834-8-1.85 -21-21-26-51-7-10-ZAS-salto-DKC
8745-5-1.93 -18-65-61-67-6-2-SPORT-defensa-DKC
3484-4-1.85 -32-84-26-36-5-7-LVK-ataque-DKC
1195-6-1.86 -76-23-21-40-1-3-kLM-flexbilidad-DKC
2302-7-1.97 -76-33-18-61-32-4-MMM-reflejos-DKC
7696-9-2.00 -49-95-32-26-15-5-ZAS-rapidez-DKC
9296-10-1.98 -43-45-76-21-16-6-SPORT-agilidad-DKC
5622-11-1.98 -20-35-78-18-17-7-WWB-flexbilidad-DKC
